"domain","collect","tags_str"
"00-mail.net","1623456000","['spam']"
"02x.net.cn","1623456000","['malware']"
"05-2021-alfabank.ru","1623456000","['phishing']"
"0554zpw.com","1623456000","['phishing']"
"060610.net","1623456000","['malware']"
"0709cefc.com","1623456000","['phishing']"
"07268778.com","1623456000","['phishing']"
"083735.ichengyun.net","1623456000","['malware']"
"0b1.duckdns.org","1623456000","['malware']"
"0ge66a4ha0z0vbawg8.biz","1623456000","['spam']"
"0l9a8q73c3.000webhostapp.com","1623456000","['phishing']"
"0r.kz","1623456000","['malware']"
"1.nvprivateoffice.info","1623456000","['malware']"
"1.trank.vip","1623456000","['phishing']"
"1000ys.org","1623456000","['malware']"
"100200rp.000webhostapp.com","1623456000","['phishing']"
"10101010ht.000webhostapp.com","1623456000","['phishing']"
"1017.site","1623456000","['malware']"
"109622579500.000webhostapp.com","1623456000","['phishing']"
"1156743.000webhostapp.com","1623456000","['phishing']"
"1202.site","1623456000","['malware']"
"123slyme.com","1623456000","['phishing']"
"1267899.000webhostapp.com","1623456000","['phishing']"
"127-0-0-1.biz","1623456000","['malware']"
"1298744.000webhostapp.com","1623456000","['phishing']"
"134.red-79-158-88.dynamicip.rima-tde.net","1623456000","['malware']"
"138-219-100-78.meganetscm.net.br","1623456000","['malware']"
"146.red-79-158-107.dynamicip.rima-tde.net","1623456000","['malware']"
"147301.000webhostapp.com","1623456000","['phishing']"
"150327090472439-goldenpixelsfb.xyz","1623456000","['phishing']"
"166.ip-51-254-101.eu","1623456000","['malware']"
"1825998.000webhostapp.com","1623456000","['phishing']"
"188shop.xyz","1623456000","['phishing']"
"19.red-83-57-211.dynamicip.rima-tde.net","1623456000","['malware']"
"19057214116.000webhostapp.com","1623456000","['phishing']"
"1933xa.com","1623456000","['spam']"
"1cfxtaws.com","1623456000","['phishing']"
"1correlat.date","1623456000","['spam']"
"1oota1.cloud","1623456000","['malware']"
"1rs-gov.olufewh.com","1623456000","['phishing']"
"1uno.kz","1623456000","['phishing']"
"1xvfcn2570h4m93z.com","1623456000","['phishing']"
"2019.delivery-yandex.com","1623456000","['malware']"
"2020.yandexpayments.ru","1623456000","['malware']"
"2021-alfabank.ru","1623456000","['phishing']"
"2021-shields-foods.com","1623456000","['malware']"
"20210419-1305586011.cos.na-toronto.myqcloud.com","1623456000","['c2']"
"2021alfabonus.ru","1623456000","['phishing']"
"2021bonusalfa.ru","1623456000","['phishing']"
"2021cdhuf.icu","1623456000","['phishing']"
