"domain","collect","tags_str"
"0.hkfast.xyz","1625961600","['malware']"
"05-2021-alfabank.ru","1625961600","['phishing']"
"0701baibao-1305586011.cos.ap-nanjing.myqcloud.com","1625961600","['c2']"
"09jsl8-msd9smdi-29ims.hostingerapp.com","1625961600","['malware']"
"10socnuscmpletesadhu.us","1625961600","['spam']"
"111222b.cc","1625961600","['malware']"
"111222k.cc","1625961600","['malware']"
"111222m.cc","1625961600","['malware']"
"117.ip-192-99-56.net","1625961600","['malware']"
"11hvsbv9.cc","1625961600","['spam']"
"123movies4u.biz","1625961600","['malware']"
"134.red-79-158-88.dynamicip.rima-tde.net","1625961600","['malware']"
"144.red-79-145-64.dynamicip.rima-tde.net","1625961600","['malware']"
"15hibaghblloadpressure.us","1625961600","['spam']"
"166.ip-51-254-101.eu","1625961600","['malware']"
"175.red-83-38-12.dynamicip.rima-tde.net","1625961600","['malware']"
"18-216-235-151.cprapid.com","1625961600","['phishing']"
"19.red-83-57-211.dynamicip.rima-tde.net","1625961600","['malware']"
"1drivelive.com","1625961600","['malware']"
"1j-zc-n-8l.info","1625961600","['spam']"
"2-twbg-w.info","1625961600","['spam']"
"2019.delivery-yandex.com","1625961600","['malware']"
"2019covid.com","1625961600","['malware']"
"2020.yandexpayments.ru","1625961600","['malware']"
"2021alfabonus.ru","1625961600","['phishing']"
"2021bonusalfa.ru","1625961600","['phishing']"
"219c.cn","1625961600","['phishing']"
"21cb74cfc4b4c7d01956b92c5b2f9969.co.cc","1625961600","['phishing']"
"222111.cc","1625961600","['malware']"
"236axpo4.dt-force.com","1625961600","['malware']"
"24-avito.ru","1625961600","['phishing']"
"24avito.ru","1625961600","['phishing']"
"24e1trfqaf31.in","1625961600","['generic']"
"250.red-88-14-206.dynamicip.rima-tde.net","1625961600","['malware']"
"2e9c0af0ec6408209278hwcbxhw.plughas.casa","1625961600","['malware']"
"2name.top","1625961600","['spam']"
"2rd6kpt0q7tnngi6hb.com","1625961600","['spam']"
"2silo.top","1625961600","['spam']"
"2tothepollo.top","1625961600","['malware']"
"36.red-81-36-191.dynamicip.rima-tde.net","1625961600","['malware']"
"36roundwebmailqwertyuioplolikujyhnvbcdfvsxaznjmmjlkiqawertyuiop.eu-gb.cf.appdomain.cloud","1625961600","['phishing']"
"3dskrivare.design","1625961600","['malware']"
"3name.top","1625961600","['spam']"
"3plj3n-i.info","1625961600","['spam']"
"421462.cloud4box.ru","1625961600","['malware']"
"421harryshgsjh.us","1625961600","['spam']"
"436systra2.dt-force.com","1625961600","['malware']"
"457467.com","1625961600","['malware']"
"47.red-83-34-21.dynamicip.rima-tde.net","1625961600","['malware']"
"47190562363616666829928951178859291162299116229.eu-gb.cf.appdomain.cloud","1625961600","['phishing']"
"474allianz9.dt-force.com","1625961600","['malware']"
"485979079684886878785988335865.com","1625961600","['spam']"
"49-51-188-85.ipv4.nknlabs.io","1625961600","['malware']"
"4allgod.com","1625961600","['malware']"
"4f3e4d6e-da0a-4bf0-bd94-e6ac8c0a8e6d.id.repl.co","1625961600","['phishing']"
"4gbr4qm7n0qftuk.cabinlifecustoms.com","1625961600","['malware']"
"4t3u53whfm03pe17vy.com","1625961600","['spam']"
"4vw37z.cn","1625961600","['generic']"
"517-1305586011.cos.na-toronto.myqcloud.com","1625961600","['c2']"
"554omtel9.dt-force.com","1625961600","['malware']"
"564aew7.dt-force.com","1625961600","['malware']"
"5afh.com","1625961600","['malware']"
"5g-wo-j-0p-b.com","1625961600","['spam']"
"5g-wo-j-0p-b.info","1625961600","['spam']"
"5name.top","1625961600","['spam']"
"5uqcbwo7jvkvkxbdxo.com","1625961600","['spam']"
"5yueapk-2.top","1625961600","['c2']"
"67.red-79-154-136.dynamicip.rima-tde.net","1625961600","['malware']"
"6836593.com","1625961600","['phishing']"
"6996843qq.com","1625961600","['malware']"
"6kf.me","1625961600","['malware']"
"6luh9bgjf6m2ph91tx.com","1625961600","['spam']"
"72sokg1ggmffyu4b4e.com","1625961600","['spam']"
"76z-z.info","1625961600","['generic']"
"78.red-83-40-133.dynamicip.rima-tde.net","1625961600","['malware']"
"78037292-a2da-4b1a-b7fe-d3e55a57605d.id.repl.co","1625961600","['phishing']"
"793dmrfa.xyz","1625961600","['spam']"
"793dmrfb.xyz","1625961600","['spam']"
"7dex5cglcfpd7vpbzccohb2qgy-adwhj77lcyoafdy-www-paypal-com.translate.goog","1625961600","['generic']"
"7ee0d7d0-2b5c-48a3-8bbe-1260e347d3de.id.repl.co","1625961600","['phishing']"
"7em5y3adsj.life","1625961600","['spam']"
"7floarabafspinagajela.us","1625961600","['spam']"
"81ba8fb4be96.ngrok.io","1625961600","['phishing']"
"82847.hosted-by-virtualdc.ru","1625961600","['malware']"
