"domain","collect"
"0-1w-05.net","1657843200"
"0-kara.net","1657843200"
"0-qr-zo-nw-dug-uqv-kzn-m-jtu-uf-q3i-r0o-vc-l4k-h21y-a9r.info","1657843200"
"0-t.net","1657843200"
"0.hkfast.xyz","1657843200"
"00-mail.net","1657843200"
"000000027.xyz","1657843200"
"0000987.xyz","1657843200"
"0001287531.7c8ff80f.01.6efc3457c1bf406587006938146ece84.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657843200"
"00025.net","1657843200"
"0003677234.7c8ff80f.01.12940f1f044942eca26910ff2eddc934.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657843200"
"000560.net","1657843200"
"0006070312.7c8ff80f.01.c8db55bfbe824722b89a63b4d8f56273.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657843200"
"0006085421.7c8ff80f.01.91c56de9cf3946cca47a21acdcea1272.n.empty.1316.empty.6_1._t_i.3000.bluetooth_exe.173.rc2.a4h9uploading.com","1657843200"
"0006093734.7c8ff80f.01.926ed3197b3d4d89856cfe5326023215.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657843200"
"00093.net","1657843200"
"0010866734.7c8ff80f.01.e276290fd47e4fdcadfc6f37d35463da.n.empty.1316.empty.6_1._t_i.3000.document_exe.173.rc2.a4h9uploading.com","1657843200"
"0014473218.7c8ff80f.01.59befd264405466d948040b2772f4ec9.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657843200"
"0019279171.7c8ff80f.01.fe94da0aa6ac49dbb3be2caf868fee0b.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657843200"
"001linker.net","1657843200"
"002107e50737.coginix.org","1657843200"
"00210kad.ru","1657843200"
"002207e50403.coginix.org","1657843200"
"002207e50405.coginix.org","1657843200"
"002207e50413.coginix.org","1657843200"
"002207e50414.coginix.org","1657843200"
"002207e50419.coginix.org","1657843200"
"002207e50424.coginix.org","1657843200"
"002207e50426.coginix.org","1657843200"
"002207e5042b.coginix.org","1657843200"
"002207e5042c.coginix.org","1657843200"
"002207e50436.coginix.org","1657843200"
"00238.net","1657843200"
"00239.net","1657843200"
"00241.net","1657843200"
"00254.net","1657843200"
"00256.net","1657843200"
"0027674921.7c8ff80f.01.b1a293ed3aac4d3c814c02cb12d4718b.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657843200"
"00299.net","1657843200"
"0034ufow.com","1657843200"
"0036076046.7c8ff80f.01.7de8b33cb6f54294800c451cf6a14a21.n.empty.1316.empty.6_1._t_i.3000.nvtaskbarine_exe.173.rc2.a4h9uploading.com","1657843200"
"004932282.com","1657843200"
"005a.ltd","1657843200"
"006dat.com","1657843200"
"0077.x24hr.com","1657843200"
"00894.net","1657843200"
"008dz.net","1657843200"
"008sjw36.tk","1657843200"
"00bbfl2ke6.1qw2es2z.xyz","1657843200"
"00ky.top","1657843200"
"00ohn3s9r8cvclhq.myddns.me","1657843200"
"00vx.top","1657843200"
"00wh.top","1657843200"
"00zyku.com","1657843200"
"01.zip","1657843200"
"010a.ltd","1657843200"
"010taxi.net","1657843200"
"011110111110.protonmail.com","1657843200"
"012-il.net","1657843200"
"012207e50402.coginix.org","1657843200"
"012207e5040d.coginix.org","1657843200"
"012207e50414.coginix.org","1657843200"
"012207e50417.coginix.org","1657843200"
"012207e50419.coginix.org","1657843200"
"012207e5041a.coginix.org","1657843200"
"012207e50423.coginix.org","1657843200"
"012207e50425.coginix.org","1657843200"
"012207e50426.coginix.org","1657843200"
"012207e50428.coginix.org","1657843200"
"012207e50429.coginix.org","1657843200"
"012207e5042d.coginix.org","1657843200"
"012207e50434.coginix.org","1657843200"
"012207e50435.coginix.org","1657843200"
"012207e50437.coginix.org","1657843200"
"0123.404studio.ru","1657843200"
"01347.net","1657843200"
"01677937777.burrow.io","1657843200"
"01698.net","1657843200"
"01cg.top","1657843200"
"01f6d.xyz","1657843200"
"01lt.top","1657843200"
"01mgw.com","1657843200"
"01pm.net","1657843200"
"01qu.top","1657843200"
"01qy.top","1657843200"
"01security.tk","1657843200"
"01wang.net","1657843200"
"02-a-life-ft.com","1657843200"
"02-billing-update.com","1657843200"
"02-bundle-package.com","1657843200"
"020507e40826.coginix.org","1657843200"
"0207ids.com","1657843200"
"020a.ltd","1657843200"
"020bangnin.net","1657843200"
"020zulin.net","1657843200"
"021d8c03b9a9a9281489f9b9055209cc.cloudfront.net","1657843200"
"021dyj.com","1657843200"
"021i.net","1657843200"
"022207e50401.coginix.org","1657843200"
"022207e50411.coginix.org","1657843200"
"022207e50413.coginix.org","1657843200"
"022207e50414.coginix.org","1657843200"
"022207e50416.coginix.org","1657843200"
"022207e50419.coginix.org","1657843200"
"022207e5041a.coginix.org","1657843200"
"022207e5041b.coginix.org","1657843200"
"022207e50425.coginix.org","1657843200"
"022207e5042a.coginix.org","1657843200"
"022207e5042b.coginix.org","1657843200"
"022207e5042d.coginix.org","1657843200"
"022207e5042f.coginix.org","1657843200"
"0228088.com","1657843200"
"022bbs.net","1657843200"
"023jhcp.com","1657843200"
"024jm.com","1657843200"
"02538.com","1657843200"
"025zk.net","1657843200"
"02712.net","1657843200"
"027a.net","1657843200"
"027baby.com","1657843200"
"0284-grodzisk.pl","1657843200"
"028htd.com","1657843200"
"028jxyy.com","1657843200"
"028love.net","1657843200"
"029hs.net","1657843200"
"02china.com","1657843200"
"02en.com","1657843200"
"02fq.top","1657843200"
"02gj.top","1657843200"
"02hs.top","1657843200"
"02km.top","1657843200"
"02mgw.com","1657843200"
