"collect","tags_str","md5","sha1","sha256"
"1625356800","['malware']","e6d7eda8ed131d3b568e8f31d47d385d","9b6608935a987252ec287176e3f046614c0de7cd","ac60bb25144e3a9a4a70e92b8a6743db509b6736205488116875b0dd10b2ac91"
"1625356800","['malware']","9ff00bc623b903380db2af6e1e0ef9a2","f4df6b7ba12496b339872cc21f452f43462897a9","f913be34267000ce467d478b49e700a78cc9f245d2823723fe4a5ee59974c08e"
"1625356800","['malware']","","be3597ad5f0567c6fcaaec1402fb3929ea589e3f",""
"1625356800","['malware']","0a914cff8af14b01e4ba0dd83168aafa","fe84a44a2becfe9b57d0ca5649a71db1be70c0b0","5c7fbe90fe3ca6bc14dfb88f56bd0d8c548ae1870cb5a2cfa74af545e5deb331"
"1625356800","['ransomware']","","310eb70723dfd8109dfb5673f43b14bae55b7077",""
"1625356800","['malware']","","d454e0fd5324a16376dfec80dcdc1d19d10bfd2c",""
"1625356800","['malware']","463dc872677e7815bf2975d766a9f277","2ecce05b2e5731f1dd157ad99ded96a48f2eaade","45bf6cd0256c4e2b96228e28e07ee9e9b1f973a15de3decde5e0753dbe0316c6"
"1625356800","['malware']","2ecfd3de453e2f8e65f7e71c02f33773","2036ffabbbcc24f848f0816f6b642746cb23dc16","d7a1419f12410adda1a9801d095a16c5a6a90911d5386e36f33dc1ea8fd60dfb"
"1625356800","['malware']","835b25e465f12e3096a4efc878b95fc3","542fc6f3883f2afb7fe98daad977321413ad44f6","ba707d6587e59e1ed72a2cbe130bfa935e0a9983151647b9bfe203ada65520d1"
"1625356800","['malware']","132409e6519ff98e86740cdb6a353711","",""
"1625356800","['malware']","b6510703563e6592230afcd4947e1c61","9350f2d250b2fa1135a2c56723c671411ad502d9","3d02c86585711fd525c5b5b02031f127aabb616a3cf0c3c19010b1bcded54c02"
"1625356800","['malware']","628412a187db87f730de20bfec7c5325","d487ca09d07996f8ed71cdfea0987e9fc4f7acbe","4d6cc9d653913f5944d58f11a0c194c75c2e18671bb0e7fbabc9794b0343b7bd"
"1625356800","['malware']","","30a5d0c3e69a86a0960594bab3e41769ee46e443",""
"1625356800","['malware']","","81565c34f2ee84ba53079b02d773b3cd7fc77a0a",""
"1625356800","['malware']","710232599592f8dcd98df77c32613251","820275701ae7d2d7567d13d9cad122dcdf22c43a","25937901eacca8f6fe7dd1456bd4f37002997bbb0ee921cf371281bcd1dbf6e0"
"1625356800","['malware']","","e67b0ed82f777a330323df9032f7c4ab5786d417",""
"1625356800","['malware']","c5dda230c3fc899bccf055859e168c31","d08c5b6287caec33401d20dc157672f63554b642","74a9ee8386b5cf757b85035c5de4cc2142243bcaff433b71cd70ab7ef13e8055"
"1625356800","['ransomware']","48ca84fcc3a4d8bffbd48b12b4e1d4b1","1214c8bee2150b17a4f1c6f470723004273fc82f","2d3b859f2ad3f0e296fd29c1abc5eb80b4dabe7c0b9d9a3b44821c9ed8e015b1"
"1625356800","['malware']","cf8e6a6115ef7dacfca2e9969bdcff05","e02c428bcbc612f25f0366ed84b5859d47959cc7","1b5c2d8fbd5892dbdd66f239ad241e35caf77e7af5694d4b2f4fb7ecdcfa1097"
"1625356800","['malware']","28a7ba89b237866ef06334ee737dad48","4c93ceaca3e850b53f5ecb60c5764ae8b026523f","f0ce9eb82e30ed88c2607fdd3d83f85e98050119becaa31e425ba609a420240e"
"1625356800","['malware']","","","74ef4d96e0749d9a13a4592a021edaad46f3444e86e08095022506ea8ee3fbae"
"1625356800","['malware']","22b1f8ef6bc3b594677fb459b7467c0b","f9b5f1b68cf199073dfed780685cf4aeb50976d2","1d1b4cde8beee3c10557f02e268a5d6a64cfe0a22805cb5e6c142f3a64840ec9"
"1625356800","['malware']","","56d655932ebbf59bfcc49ca2afc78db16cb7b889",""
"1625356800","['malware']","de52d28b9733efb3bc9907490637f8c3","689afe882a80dfe407abc3cd60e2880df5f639e9","4afdd41880118abd911a52d401ce30548f2455f0f71a3aeb23b79cb6e32d4901"
"1625356800","['malware']","420fd4006ed21b6e009e2b619aebac80","92dd0d5a46229424cda25e64b46ff9bf95ec4426","0d0b01738777662d5fe13de8fe6f4c50edb14d9a9b605b31e6ebdf6750d0ee8a"
"1625356800","['malware']","3ca86b064f7a59ea99ec5e7b30aad3c0","0cd88be35ba015193a9b9b2a3ac0e8f2c1c14026","96502f45d9fa8235052025a0edfb89ce841b2b188259c870626f499ed68116a9"
"1625356800","['malware']","","8d58b05fcf96e3063afd1827d6e879ae08f6693b",""
"1625356800","['malware']","707346121c45245b4736b2aafbb2e7e5","61e1e2dc6e9e1e58b74e89d3fb043030400fb3d4","0cc79e262150c296151c73a6101d48b7e5466570c1ee5a3a59cd0210476b9194"
"1625356800","['malware']","45e6616d2335a4a0a6ae5b8cbbae243f","3f554e37e176172021b38fc6cb2f3d391b08b8c1","b26e65eac3c11ed508d5f02b76f6eb06ffa9c02cef1765dfcd6b2d137f6eaa1b"
"1625356800","['malware']","534f22ff3b742612354101956c927575","d260f8f4b3e190d5202da299dc52e2eb8196df8a","76e4c04c35524f6e52ac75aae162f6989e078d69a849bbf61bd60fc929a1fdf8"
"1625356800","['malware']","88858e681e88ea0b38875e720f940765","e667896f1c4b48bf4b1d69875d21589ac37d7315","6e7eaf4b4d032bf576c1c6b5d275e01ba4909a5db3dde4e77e33d0f21fb8c371"
"1625356800","['malware']","","53b54b858e53d54610023a394e0dd81e3a897e01",""
"1625356800","['malware']","f237724169aa2b76c740551dbca92312","30100679a5e644e8355b3f820f6c552642e73734","8de5dc9e14110e295a78be2a94d213188de55c0f2da42103ed2cb15b48a6bdba"
"1625356800","['malware']","","3f2792fe5dd6e89ea1d7f508c6c28b7914c66723",""
