"domain","collect","tags_str"
"01-a-life-ft.com","1614729600","['spam']"
"01677937777.burrow.io","1614729600","['malware']"
"03-a-life-ft.com","1614729600","['spam']"
"06-a-life-ft.com","1614729600","['spam']"
"08-a-life-ft.com","1614729600","['spam']"
"0qd.cc","1614729600","['malware']"
"10-a-life-ft.com","1614729600","['spam']"
"1008questions.in","1614729600","['malware']"
"100hit.ru","1614729600","['malware']"
"101.227.251.235:8081","1614729600","['malware']"
"103.10.169.212:4036","1614729600","['malware']"
"103.39.213.170:36912","1614729600","['malware']"
"103020.000webhostapp.com","1614729600","['phishing']"
"113.195.167.253:57997","1614729600","['malware']"
"117.242.208.115:45221","1614729600","['malware']"
"118.25.7.83:36366","1614729600","['malware']"
"119.45.4.42:8888","1614729600","['malware']"
"121.18.88.186:8010","1614729600","['malware']"
"122.114.172.216:54213","1614729600","['malware']"
"123q12e.ddns.net","1614729600","['malware']"
"125.46.81.106:1002","1614729600","['malware']"
"125.46.81.106:8088","1614729600","['malware']"
"125.46.81.106:9080","1614729600","['malware']"
"129.211.99.254:8088","1614729600","['malware']"
"13-a-life-ft.com","1614729600","['spam']"
"132689---bet035.com","1614729600","['phishing']"
"149.202.251.68:6892","1614729600","['malware']"
"158.69.35.227:137","1614729600","['malware']"
"159.65.114.23:443","1614729600","['malware']"
"16-a-life-ft.com","1614729600","['spam']"
"162.142.125.38:58558","1614729600","['malware']"
"162.247.74.202:123","1614729600","['malware']"
"162.247.74.216:60859","1614729600","['malware']"
"162.247.74.27:7680","1614729600","['malware']"
"167.114.98.96:2222","1614729600","['malware']"
"170.210.71.10:2731","1614729600","['malware']"
"171.25.193.20:443","1614729600","['malware']"
"171.25.193.25:443","1614729600","['malware']"
"171.25.193.77:443","1614729600","['malware']"
"171.25.193.78:443","1614729600","['malware']"
"175.118.152.100:8080","1614729600","['malware']"
"177.185.141.93:8200","1614729600","['malware']"
"177.93.65.167:44615","1614729600","['malware']"
"185.100.85.61:443","1614729600","['malware']"
"185.100.87.206:443","1614729600","['malware']"
"185.100.87.207:28558","1614729600","['malware']"
"185.100.87.207:443","1614729600","['malware']"
"185.117.215.9:443","1614729600","['malware']"
"185.129.62.62:31196","1614729600","['malware']"
"185.129.62.62:61906","1614729600","['malware']"
"185.129.62.62:62577","1614729600","['malware']"
