"domain","collect","tags_str"
"%ef%bc%88.%ef%bc%89b.i.xn--.xn--.u.k37@68.183.16.127","1618272000","['malware']"
"0-app.com","1618272000","['malware']"
"00wetransfer-sharedfiles.netlify.app","1618272000","['phishing']"
"01c59dab774e1b98.xyz","1618272000","['malware']"
"03550e.com","1618272000","['spam']"
"05-a-life-ft.com","1618272000","['spam']"
"061093240018.static.ctinets.com","1618272000","['malware']"
"07-a-life-ft.com","1618272000","['spam']"
"07949hd.com","1618272000","['spam']"
"0d18aa9b524d25e6312097448acbe534-dot-solidstar-improts.uk.r.appspot.com","1618272000","['phishing']"
"0ffice366555.weebly.com","1618272000","['phishing']"
"0fficee3656.weebly.com","1618272000","['phishing']"
"0xdeadbeef.tw","1618272000","['botnet']"
"1-sec.tk","1618272000","['generic']"
"1.227.57.66:81","1618272000","['malware']"
"100hit.ru","1618272000","['malware']"
"100of.cn","1618272000","['malware']"
"103.red-81-36-71.dynamicip.rima-tde.net","1618272000","['malware']"
"104.244.74.140:8001","1618272000","['malware']"
"104.244.74.140:8011","1618272000","['malware']"
"106.red-88-12-81.dynamicip.rima-tde.net","1618272000","['malware']"
"111.93.4.46:8081","1618272000","['malware']"
"112aubid.ru","1618272000","['malware']"
"113.204.228.66:8877","1618272000","['malware']"
"114.235.250.219:42699","1618272000","['malware']"
"115.231.24.187:444","1618272000","['malware']"
"115.231.24.187:7867","1618272000","['malware']"
"117.222.164.89:37583","1618272000","['malware']"
"117.242.208.115:45221","1618272000","['malware']"
"119.123.225.101:54218","1618272000","['malware']"
"120.194.34.158:51001","1618272000","['malware']"
"122.170.5.123:86","1618272000","['malware']"
"128.ip-149-202-47.eu","1618272000","['malware']"
"1429h.com","1618272000","['malware']"
"144.red-83-32-30.dynamicip.rima-tde.net","1618272000","['malware']"
"157.230.234.93:443","1618272000","['malware']"
"15cd797765fa599290e8b119ff5a1ed9-dot-solidstar-improts.uk.r.appspot.com","1618272000","['phishing']"
"16vibes.com","1618272000","['spam']"
"172.245.210.174:839","1618272000","['malware']"
"173msn.com","1618272000","['spam']"
"178-17-170-179.static.as43289.net","1618272000","['malware']"
"178.168.67.89:4645","1618272000","['malware']"
"178.17.170.179:444","1618272000","['malware']"
"178xx.cc","1618272000","['malware']"
"17haoping.com","1618272000","['spam']"
"17kp.club","1618272000","['generic']"
"182.119.119.127:33667","1618272000","['malware']"
"185.158.114.106:443","1618272000","['malware']"
"185.220.101.199:9050","1618272000","['malware']"
"185.220.102.244:9080","1618272000","['malware']"
"187.17.172.218:5859","1618272000","['malware']"
"187.188.236.198:8050","1618272000","['malware']"
"189k.icu","1618272000","['generic']"
"18ad18ea5119.ngrok.io","1618272000","['phishing']"
"194.165.16.67:5051","1618272000","['malware']"
"194.165.16.67:7152","1618272000","['malware']"
"194.165.16.68:9112","1618272000","['malware']"
"197.red-83-59-250.dynamicip.rima-tde.net","1618272000","['malware']"
"198.23.229.170:60438","1618272000","['malware']"
"198.23.229.170:60462","1618272000","['malware']"
"198.23.229.170:62837","1618272000","['malware']"
"198.23.229.170:63094","1618272000","['malware']"
"198.98.51.104:2737","1618272000","['malware']"
"198.98.51.104:743","1618272000","['malware']"
"1drv.icu","1618272000","['malware']"
"1gepu2.dayrisesolar.com","1618272000","['phishing']"
"1o0b08zv.sibpages.com","1618272000","['phishing']"
"1vip188bet.com","1618272000","['spam']"
"2.57.122.97:34067","1618272000","['malware']"
"2.57.122.97:443","1618272000","['malware']"
"2.57.122.97:9001","1618272000","['malware']"
"201.6.247.90:8080","1618272000","['malware']"
"2012-henry-btc.com","1618272000","['generic']"
"201877887.com","1618272000","['malware']"
"2021-communityaward-notice.com","1618272000","['spam']"
"20210404.xyz","1618272000","['spam']"
"203186054237.static.ctinets.com","1618272000","['malware']"
"205.185.113.210:65466","1618272000","['malware']"
"205.185.113.210:666","1618272000","['malware']"
"205.185.113.210:676","1618272000","['malware']"
"205.185.113.210:999","1618272000","['malware']"
"206.189.127.6:8087","1618272000","['malware']"
"20gb-hediye.net","1618272000","['malware']"
"20gbhediyeleriyle.com","1618272000","['malware']"
"210302.top","1618272000","['c2']"
"211-75-141-112.hinet-ip.hinet.net","1618272000","['malware']"
"216-15-95-36.s2850.c3-0.tlg-cbr4.atw-tlg.pa.cable.rcncustomer.com","1618272000","['malware']"
"217roteben.online","1618272000","['c2']"
"218.4.234.74:8082","1618272000","['malware']"
"21c3e5338aa9b76cf3fb65cb882f49ee-dot-solidstar-improts.uk.r.appspot.com","1618272000","['phishing']"
"22-a-life-ft.com","1618272000","['spam']"
"23-a-life-ft.com","1618272000","['spam']"
"23.94.22.12:42516","1618272000","['malware']"
"237.ip-51-178-27.eu","1618272000","['malware']"
"239.red-79-145-69.dynamicip.rima-tde.net","1618272000","['malware']"
"24oplata-blablacar.ru","1618272000","['phishing']"
"24packaging-dhlch.com","1618272000","['spam']"
"251.red-2-138-83.dynamicip.rima-tde.net","1618272000","['malware']"
"25hxytg7k6n45aa.net","1618272000","['spam']"
"26-a-life-ft.com","1618272000","['spam']"
"27-a-life-ft.com","1618272000","['spam']"
"27meng.com","1618272000","['malware']"
"293-deutschinc.club","1618272000","['spam']"
"2bce424338.pw","1618272000","['malware']"
"31.31.216.170:6680","1618272000","['malware']"
"335733.info","1618272000","['malware']"
"33nachoscocso.website","1618272000","['generic']"
"34-a-life-ft.com","1618272000","['spam']"
"35-a-life-ft.com","1618272000","['spam']"
"36-a-life-ft.com","1618272000","['spam']"
"3655967.com","1618272000","['generic']"
"36paesp65cahz65.net","1618272000","['spam']"
"37.49.229.191:23","1618272000","['malware']"
"37.49.229.191:839","1618272000","['malware']"
"37ec265cb68aaa089ddcc9210b444cae-dot-solidstar-improts.uk.r.appspot.com","1618272000","['phishing']"
"380222001.xyz","1618272000","['malware']"
"3aspace.com","1618272000","['malware']"
"3ctncb74x6ucbxj.net","1618272000","['spam']"
"3e8x0jmd.sibpages.com","1618272000","['phishing']"
"3lrjn8.digitalwebdesk.com","1618272000","['generic']"
"3polmi.xyz","1618272000","['spam']"
"3wfg9t.com","1618272000","['spam']"
"404.avideo.icu","1618272000","['malware']"
"40ort.750.credit","1618272000","['c2']"
"4451e91325d4a57d.xyz","1618272000","['malware']"
"45.144.225.151:4258","1618272000","['malware']"
"45.146.165.72:5985","1618272000","['malware']"
"45.148.10.45:9772","1618272000","['malware']"
"46.red-88-14-201.dynamicip.rima-tde.net","1618272000","['malware']"
"47k9ar.com","1618272000","['spam']"
"4l4k0.digitalwebdesk.com","1618272000","['generic']"
"4niovnih.com","1618272000","['spam']"
"5-0-0-0-ot-alfa-bank.ru","1618272000","['phishing']"
"5.8.10.202:34480","1618272000","['malware']"
"50.115.174.105:23","1618272000","['malware']"
